id,label,Abby,Agnes,Alma.pol,Annie,Bruce,Cherly,Cheryll,Dedra,Dorethea,Evelynn,Gema,Jae,Jonell,Kandis,Karina,Kellee,Maaz,Madelene,Mathew,Matilda,Merideth,Serina,Zenobia,Zenobia
2,Abby,0,2,1,1,1,8,0,1,1,9,2,0,1,9,0,1,0,10,0,0,0,0,1,0
3,Agnes,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,1,0,0
5,Alma.pol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
6,Annie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Bruce,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
12,Cherly,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1,0,1
13,Cheryll,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
20,Dedra,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0
23,Dorethea,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,Evelynn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Gema,13,2,2,12,1,4,0,2,0,0,1,2,0,5,0,0,0,3,1,0,0,0,0,0
29,Jae,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
31,Jonell,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,15,0,0
36,Kandis,1,3,0,0,1,0,1,0,0,4,1,1,1,0,0,0,0,9,0,0,2,0,0,0
37,Karina,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Kellee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Maaz,29,4,11,12,0,28,0,0,0,10,0,2,0,9,3,0,0,0,0,0,0,1,0,0
51,Madelene,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,Mathew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,Matilda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,Merideth,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
67,Serina,0,1,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
80,Zenobia,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
